label,messages,length
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",327
ham,I dunno lei... Like dun haf...,30
ham,Yunny i'm walking in citylink now ü faster come down... Me very hungry...,73
ham,Yup ok thanx...,15
ham,My phone,8
ham,Happy birthday to you....dear.with lots of love.rakhesh NRI,59
ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,116
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",72
ham,I'm at work. Please call,24
ham,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,114
ham,Captain is in our room:),24
ham,I can take you at like noon,27
ham,Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar,80
ham,Ok how you dear. Did you call chechi,36
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,95
ham,At the funeral home with Audrey and dad,39
ham,That means get the door,23
ham,Aight do you still want to get money,36
ham,Did you get any gift? This year i didnt get anything. So bad,60
ham,I need... Coz i never go before ,32
ham,Do you know when the result.,28
ham,None of that's happening til you get here though,48
ham,Once free call me sir.,22
ham,No shoot me. I'm in the docs waiting room. :/,45
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,92
ham,Ok... Ur typical reply...,25
ham,I place all ur points on e cultures module already.,51
spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,146
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,113
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,77
ham,"Ya ok, then had dinner?",23
ham,"Haha I heard that, text me when you're around",45
ham,When ü login dat time... Dad fetching ü home now?,49
ham,Let me know when you've got the money so carlos can make the call,65
ham,Great. P diddy is my neighbor and comes for toothpaste every morning,68
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.,77
ham,Hey i've booked the pilates and yoga lesson already... Haha,59
ham,"Jay wants to work out first, how's 4 sound?",43
ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,136
spam,Call FREEPHONE 0800 542 0578 now!,33
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS",146
ham,Oh god..taken the teeth?is it paining,37
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.",154
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",160
ham,No plm i will come da. On the way.,34
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",115
spam,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,135
ham,How many times i told in the stage all use to laugh. You not listen aha.,72
ham,"Its ok., i just askd did u knw tht no?",38
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; ,60
ham,"I'm a guy, browsin is compulsory",32
ham,Please tell me not all of my car keys are in your purse,55
ham,Am i that much bad to avoid like this?,38
ham,Tmrw. Im finishing 9 doors,26
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.,118
ham,Ya srsly better than yi tho,27
ham,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",54
ham,Headin towards busetop,22
ham,One small prestige problem now.,31
ham,Happy new years melody!,23
ham,Ok lor... But buy wat?,22
ham,No..its ful of song lyrics..,28
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,153
ham,Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),125
ham,Yo come over carlos will be here soon,37
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,160
spam,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,126
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,86
ham,Yeah I can still give you a ride,32
ham,Kothi print out marandratha.,28
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,72
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",107
ham,I went to ur hon lab but no one is there.,41
ham,S:)8 min to go for lunch:),26
ham,"Sorry, went to bed early, nightnight",36
spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",126
ham,I WILL CAL YOU SIR. In meeting,30
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,114
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",137
ham,Sent me ur email id soon,24
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",112
ham,In e msg jus now. U said thanks for gift.,41
ham,K...k...when will you give treat?,33
ham,I dont have i shall buy one dear,32
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",179
ham,U too...,8
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",97
ham,I will treasure every moment we spend together...,49
ham,How much u trying to get?,25
ham,"What part of ""don't initiate"" don't you understand",50
ham,"We are hoping to get away by 7, from Langport. You still up for town tonight?",77
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",158
ham,Prepare to be pounded every night...,36
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,140
ham,No probably  &lt;#&gt; %.,25
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",179
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,156
ham,She went to attend another two rounds today..but still did't reach home..,73
ham,"K, text me when you're on the way",33
ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1.",375
ham,I AM AT A PARTY WITH ALEX NICHOLS,33
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... ,61
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",72
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,133
ham,Are you still playing with gautham?,35
ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,144
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",61
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",120
ham,Apart from the one i told you about yesterday?,46
ham,"They can try! They can get lost, in fact. Tee hee",49
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,73
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,121
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,78
ham,Can you open the door?,22
ham,"Lets use it next week, princess :)",34
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",160
ham,Not sure I have the stomach for it ...,38
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,96
ham,I cant pick the phone right now. Pls send a message,51
ham,I always chat with you. In fact i need money can you raise me?,62
ham,Shall i get my pouch?,21
ham,Do u hav any frnd by name ashwini in ur college?,48
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",155
spam,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",151
spam,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,147
ham,"Whatever, juliana. Do whatever you want.",40
ham,I had it already..sabarish asked me to go..,43
ham,Well I'm going to be an aunty!,30
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",59
ham,Yo im right by yo work,22
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;,40
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,158
ham,"I've got  &lt;#&gt; , any way I could pick up?",46
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.,72
ham,"sure, but make sure he knows we ain't smokin yet",48
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",121
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,156
ham,Okie,4
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",147
ham,"I'm in a meeting, call me later at",34
ham,"fyi I'm at usf now, swing by the room whenever",46
ham,Come to my home for one last time i wont do anything. Trust me.,63
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",290
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,86
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",162
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,155
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,158
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),152
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",104
ham,Den wat will e schedule b lk on sun?,36
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",133
ham,Can not use foreign stamps in this country.,43
ham,I can ask around but there's not a lot in terms of mids up here,63
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",158
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,148
ham,Are there TA jobs available? Let me know please cos i really need to start working,82
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,103
ham,Me fine..absolutly fine,23
ham,Do u knw dis no. &lt;#&gt; ?,28
ham,I sent lanre fakeye's Eckankar details to the mail box,54
ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you",152
spam,"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",130
ham,"Happy or sad , one thing about past is- ""Its no more"" GOOD MORNING :-):-).",74
ham,Oh really?? Did you make it on air? What's your talent?,55
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,155
ham,Yup i'm elaborating on the safety aspects and some other issues..,65
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,158
ham,That's necessarily respectful,29
ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,102
ham,As usual u can call me ard 10 smth.,35
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,109
ham,Yeah whatever lol,17
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,133
ham,"Tick, tick, tick ... Babe",25
ham,Senthil group company Apnt 5pm.,31
ham,Mm i had my food da from out,28
ham,You dont know you jabo me abi.,30
ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,145
ham,Did he just say somebody is named tampa,39
ham,Ill call you evening ill some ideas.,36
spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,137
ham,Hope you are having a good week. Just checking in,49
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,65
ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,94
ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",132
ham,Prabha..i'm soryda..realy..frm heart i'm sory,45
ham,At home by the way,18
ham,Sweet heart how are you?,24
ham,"Sorry,  in meeting I'll call you later",38
ham,Lmao. Take a pic and send it to me.,35
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,161
ham,Early bird! Any purchases yet?,30
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",163
ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,143
ham,Friends that u can stay on fb chat with,39
ham,"Haha get used to driving to usf man, I know a lot of stoners",60
spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,156
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",159
ham,He remains a bro amongst bros,29
ham,Eatin my lunch...,17
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",148
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,165
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,154
ham,"That's fine, I'll bitch at you about it later then",50
ham,"Come to me right now, Ahmad",27
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,143
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,75
ham,"Aight will do, thanks again for comin out",41
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,73
ham,Nope... Think i will go for it on monday... Sorry i replied so late,67
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,127
ham,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,79
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie,87
ham,What Today-sunday..sunday is holiday..so no work..,50
ham,Its not that time of the month nor mid of the time?,51
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",155
ham,Go where n buy? Juz buy when we get there lar.,46
ham,Ya very nice. . .be ready on thursday,37
ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",629
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI,77
ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,106
ham,Stop knowing me so well!,24
ham,"Goodmorning, today i am late for 2hrs. Because of back pain.",60
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...,71
ham,Neshanth..tel me who r u?,25
ham,Hmm .. Bits and pieces lol ... *sighs* ...,42
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,84
ham,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,71
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",160
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,92
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,64
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,96
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",102
ham,"Me, i dont know again oh",24
ham,Why de. You looking good only:-)..,34
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,142
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.,127
ham,Oic... I saw him too but i tot he din c me... I found a group liao...,69
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,156
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",324
ham,Good evening! How are you?,26
ham,Oh you got many responsibilities.,33
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",148
spam,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),151
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",226
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",181
ham,Compliments to you. Was away from the system. How your side.,60
ham,"I'm in a meeting, call me later at",34
ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,80
ham,In which place i can get rooms cheap:-),39
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month ,77
ham,I cant wait to see you! How were the photos were useful? :),59
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",152
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,155
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",114
ham,Should i send you naughty pix? :),33
ham,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",201
ham,You see the requirements please,31
ham,Am also doing in cbe only. But have to pay.,43
ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg",79
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,78
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",63
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,159
ham,* You gonna ring this weekend or wot?,37
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe",49
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",161
ham,Just send a text. We'll skype later.,36
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",44
ham,Now got tv 2 watch meh? U no work today?,40
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",105
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",162
ham,Yes..gauti and sehwag out of odi series.,40
ham,They r giving a second chance to rahul dengra.,46
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",143
ham,"yeah, that's what I was thinking",32
ham,Wat r u doing?,14
ham,Probably gonna swing by in a wee bit,36
ham,I wonder if you'll get this text?,33
ham,K.:)do it at evening da:)urgent:),33
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,143
ham,Call me when u finish then i come n pick u.,43
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,134
ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,88
